# local minimal position and the related energy gap
#        kx            ky            kz           gap             E            k1            k2            k3
   -0.00783841    0.01082304   -0.09019110    0.00348757    0.62787100   -0.11911012   -0.10953799   -0.11802991
   -0.05243934    0.08979043   -0.04009807    0.00225582    0.59178485   -0.07513144   -0.00427367   -0.07472456
   -0.05244665    0.08979552   -0.04009951    0.00225583    0.59176479   -0.07513661   -0.00427187   -0.07472676
   -0.05244201    0.08978915   -0.04009827    0.00225582    0.59178457   -0.07513291   -0.00427382   -0.07472372
   -0.05243074    0.08978271   -0.04009119    0.00225584    0.59181744   -0.07511874   -0.00426983   -0.07471468
   -0.00802136   -0.01121962   -0.08913066    0.00325716    0.63082788   -0.11783428   -0.11678534   -0.10798226
   -0.05243180    0.08979145   -0.04009824    0.00225583    0.59179036   -0.07512825   -0.00427519   -0.07472689
   -0.05243898    0.08978377   -0.04009654    0.00225583    0.59180105   -0.07512933   -0.00427441   -0.07472009
   -0.05243462    0.08978620   -0.04009436    0.00225582    0.59180264   -0.07512456   -0.00427165   -0.07471923
   -0.05243726    0.08978790   -0.04009693    0.00225582    0.59179361   -0.07512904   -0.00427367   -0.07472258
   -0.05243528    0.08978678   -0.04009579    0.00225582    0.59179924   -0.07512669   -0.00427311   -0.07472114
   -0.05243211    0.08979371   -0.04009639    0.00225582    0.59178710   -0.07512602   -0.00427187   -0.07472534
   -0.05222684   -0.09002372   -0.04011870    0.00249325    0.59142013   -0.07506162   -0.07489066   -0.00425672
   -0.05243595    0.08979223   -0.04009673    0.00225581    0.59178592   -0.07512819   -0.00427202   -0.07472432
   -0.05242882    0.08979522   -0.04009452    0.00225584    0.59178922   -0.07512214   -0.00426963   -0.07472428
   -0.05222668   -0.09002251   -0.04011692    0.00249325    0.59142472   -0.07505927   -0.07488794   -0.00425495
   -0.05242943    0.08979446   -0.04009522    0.00225583    0.59178949   -0.07512330   -0.00427068   -0.07472474
   -0.05222413   -0.09002217   -0.04011598    0.00249325    0.59142903   -0.07505691   -0.07488718   -0.00425445
   -0.05244222    0.08979333   -0.04009796    0.00225582    0.59177573   -0.07513261   -0.00427174   -0.07472491
   -0.05244498    0.08979277   -0.04009904    0.00225582    0.59177291   -0.07513524   -0.00427271   -0.07472545
   -0.05222670   -0.09001128   -0.04011118    0.00249325    0.59145489   -0.07505193   -0.07487618   -0.00425200
   -0.05222228   -0.09001012   -0.04011099    0.00249325    0.59146209   -0.07504968   -0.07487648   -0.00425321
   -0.05223076   -0.09001396   -0.04011324    0.00249325    0.59144283   -0.07505640   -0.07487895   -0.00425266
   -0.05243332    0.08978965   -0.04009780    0.00225582    0.59179308   -0.07512837   -0.00427499   -0.07472528
   -0.05244821    0.08979472   -0.04010004    0.00225583    0.59176433   -0.07513799   -0.00427250   -0.07472677
   -0.05243989    0.08979606   -0.04009959    0.00225582    0.59177063   -0.07513365   -0.00427329   -0.07472860
   -0.05223474   -0.09002585   -0.04011973    0.00249326    0.59140639   -0.07506652   -0.07489103   -0.00425541
   -0.05221984   -0.09001886   -0.04011383    0.00249325    0.59144277   -0.07505221   -0.07488410   -0.00425397
   -0.05243987    0.08979858   -0.04010089    0.00225582    0.59176391   -0.07513531   -0.00427397   -0.07473127
   -0.05243777    0.08979660   -0.04010079    0.00225582    0.59177046   -0.07513422   -0.00427509   -0.07473083
   -0.05222416   -0.09002556   -0.04011740    0.00249326    0.59142019   -0.07505874   -0.07489032   -0.00425493
   -0.05223253   -0.09001600   -0.04011692    0.00249325    0.59143286   -0.07506192   -0.07488406   -0.00425618
   -0.05242959    0.08979363   -0.04009684    0.00225582    0.59178943   -0.07512546   -0.00427305   -0.07472646
   -0.05222292   -0.09000877   -0.04011173    0.00249325    0.59146362   -0.07505091   -0.07487675   -0.00425453
   -0.05242635    0.08979463   -0.04009713    0.00225583    0.59179038   -0.07512437   -0.00427377   -0.07472796
   -0.05222128   -0.09001643   -0.04011450    0.00249324    0.59144588   -0.07505372   -0.07488368   -0.00425545
   -0.05221951   -0.09001465   -0.04011109    0.00249325    0.59145502   -0.07504855   -0.07487901   -0.00425219
   -0.05221735   -0.09001599   -0.04011540    0.00249326    0.59144992   -0.07505309   -0.07488554   -0.00425767
   -0.05243605    0.08979061   -0.04009547    0.00225582    0.59179057   -0.07512663   -0.00427102   -0.07472206
   -0.05221802   -0.09001321   -0.04011407    0.00249325    0.59145661   -0.07505170   -0.07488260   -0.00425691
   -0.05222095   -0.09000978   -0.04011146    0.00249325    0.59146372   -0.07504968   -0.07487725   -0.00425424
   -0.05222100   -0.09001884   -0.04011387    0.00249325    0.59144158   -0.07505279   -0.07488388   -0.00425376
   -0.05221701   -0.09001733   -0.04011348    0.00249325    0.59144934   -0.07505048   -0.07488369   -0.00425476
   -0.05243658    0.08979543   -0.04009699    0.00225582    0.59177812   -0.07512881   -0.00427095   -0.07472577
   -0.05244748    0.08978924   -0.04009787    0.00225583    0.59177906   -0.07513488   -0.00427204   -0.07472201
   -0.05245199    0.08979461   -0.04009917    0.00225585    0.59176149   -0.07513858   -0.00427057   -0.07472475
   -0.05223177   -0.09001824   -0.04011631    0.00249324    0.59142940   -0.07506079   -0.07488432   -0.00425468
   -0.05243287    0.08978818   -0.04009242    0.00225584    0.59180223   -0.07512128   -0.00426878   -0.07471792
   -0.05244227    0.08978795   -0.04009757    0.00225582    0.59178759   -0.07513214   -0.00427335   -0.07472230
   -0.05243503    0.08980926   -0.04010375    0.00225586    0.59174311   -0.07513678   -0.00427455   -0.07474022
   -0.05223503   -0.09001619   -0.04011763    0.00249325    0.59142915   -0.07506396   -0.07488448   -0.00425645
   -0.05222527   -0.09002021   -0.04011461    0.00249325    0.59143353   -0.07505566   -0.07488439   -0.00425320
